"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/05/2020","AQS","390030009","1","0.036","ppm","33","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/06/2020","AQS","390030009","1","0.046","ppm","43","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/07/2020","AQS","390030009","1","0.05","ppm","46","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/08/2020","AQS","390030009","1","0.037","ppm","34","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/09/2020","AQS","390030009","1","0.042","ppm","39","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/10/2020","AQS","390030009","1","0.04","ppm","37","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/11/2020","AQS","390030009","1","0.03","ppm","28","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/12/2020","AQS","390030009","1","0.044","ppm","41","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/13/2020","AQS","390030009","1","0.054","ppm","50","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/14/2020","AQS","390030009","1","0.044","ppm","41","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/15/2020","AQS","390030009","1","0.04","ppm","37","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/16/2020","AQS","390030009","1","0.049","ppm","45","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/17/2020","AQS","390030009","1","0.041","ppm","38","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/18/2020","AQS","390030009","1","0.04","ppm","37","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/19/2020","AQS","390030009","1","0.043","ppm","40","Lima","15","88.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/20/2020","AQS","390030009","1","0.041","ppm","38","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/21/2020","AQS","390030009","1","0.034","ppm","31","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/22/2020","AQS","390030009","1","0.035","ppm","32","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/23/2020","AQS","390030009","1","0.045","ppm","42","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/24/2020","AQS","390030009","1","0.05","ppm","46","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/25/2020","AQS","390030009","1","0.043","ppm","40","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/26/2020","AQS","390030009","1","0.043","ppm","40","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/27/2020","AQS","390030009","1","0.042","ppm","39","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/28/2020","AQS","390030009","1","0.044","ppm","41","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/29/2020","AQS","390030009","1","0.041","ppm","38","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/30/2020","AQS","390030009","1","0.035","ppm","32","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/31/2020","AirNow","390030009","1","0.043","ppm","40","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/01/2020","AirNow","390030009","1","0.048","ppm","44","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/02/2020","AirNow","390030009","1","0.061","ppm","71","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/03/2020","AirNow","390030009","1","0.055","ppm","51","Lima","22","92.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/04/2020","AirNow","390030009","1","0.053","ppm","49","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/05/2020","AirNow","390030009","1","0.067","ppm","90","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/06/2020","AirNow","390030009","1","0.058","ppm","61","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/07/2020","AirNow","390030009","1","0.047","ppm","44","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/08/2020","AirNow","390030009","1","0.054","ppm","50","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/09/2020","AirNow","390030009","1","0.043","ppm","40","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/10/2020","AirNow","390030009","1","0.044","ppm","41","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/11/2020","AirNow","390030009","1","0.046","ppm","43","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/12/2020","AirNow","390030009","1","0.051","ppm","47","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/13/2020","AirNow","390030009","1","0.044","ppm","41","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/14/2020","AirNow","390030009","1","0.041","ppm","38","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/15/2020","AirNow","390030009","1","0.051","ppm","47","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/16/2020","AirNow","390030009","1","0.06","ppm","67","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/17/2020","AirNow","390030009","1","0.062","ppm","74","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/19/2020","AirNow","390030009","1","0.058","ppm","61","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/20/2020","AirNow","390030009","1","0.072","ppm","105","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/21/2020","AirNow","390030009","1","0.055","ppm","51","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/22/2020","AirNow","390030009","1","0.057","ppm","58","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/23/2020","AirNow","390030009","1","0.044","ppm","41","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
