"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/19/2020","AQS","390130006","1","18","ppb","17","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/20/2020","AQS","390130006","1","20","ppb","19","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/21/2020","AQS","390130006","1","25","ppb","24","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/22/2020","AQS","390130006","1","21","ppb","20","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/23/2020","AQS","390130006","1","20","ppb","19","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/24/2020","AQS","390130006","1","28","ppb","26","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/25/2020","AQS","390130006","1","27","ppb","25","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/26/2020","AQS","390130006","1","18","ppb","17","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/27/2020","AQS","390130006","1","10","ppb","9","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/28/2020","AQS","390130006","1","28","ppb","26","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
